# {"t_start": 1556387814.8088303, "env_id": "SuperMarioBros-v1"} 
r,l,t
629.0,107,13049.31855
1037.0,272,13067.673555
231.0,38,13069.99713
1038.0,203,13083.980609
235.0,43,13086.743523
1901.0,368,13110.971268
999.0,389,13137.089597
1051.0,171,13147.944381
235.0,35,13150.630211
606.0,68,13155.540869
597.0,90,13161.290792
1025.0,223,13175.184361
1324.0,264,13193.004873
627.0,92,13198.760653
1055.0,254,13216.094932
653.0,73,13221.129593
636.0,158,13231.097698
2339.0,413,13258.23882
229.0,36,13260.628193
1006.0,403,13288.319364
1316.0,220,13302.61102
624.0,90,13309.216682
656.0,83,13314.780195
1409.0,269,13332.869155
1415.0,307,13352.419623
1309.0,216,13367.3462
249.0,30,13369.372912
634.0,85,13375.087486
648.0,68,13379.310808
1313.0,226,13393.890922
1411.0,249,13410.397679
613.0,73,13415.631018
762.0,188,13429.022692
244.0,37,13431.461762
1323.0,139,13440.194952
1036.0,148,13450.73873
611.0,74,13455.839131
1676.0,282,13474.716124
238.0,39,13477.358463
727.0,158,13487.758955
615.0,74,13492.829401
615.0,77,13497.890051
633.0,94,13504.161887
617.0,76,13509.339435
822.0,158,13519.850782
609.0,60,13524.006732
804.0,192,13536.141016
814.0,142,13546.287056
817.0,151,13555.706474
1299.0,286,13575.590371
597.0,95,13582.026066
251.0,29,13583.883968
2338.0,476,13614.057059
639.0,136,13623.807853
1287.0,384,13648.896583
1036.0,218,13663.536709
1326.0,236,13679.52545
610.0,97,13685.791769
1686.0,324,13706.057726
589.0,92,13712.689718
642.0,151,13722.611754
1060.0,141,13731.149282
1307.0,299,13750.779259
619.0,83,13756.761853
1438.0,156,13766.559013
605.0,61,13770.911967
615.0,75,13776.366131
651.0,100,13783.016312
583.0,94,13789.192712
1316.0,167,13800.085142
242.0,33,13802.157603
2643.0,377,13827.817584
1553.0,283,13847.073207
247.0,30,13849.14224
1045.0,161,13859.270327
246.0,30,13861.163926
649.0,78,13865.996582
1564.0,254,13881.792584
578.0,142,13891.89575
1020.0,319,13913.229613
1555.0,241,13929.628156
811.0,133,13937.991707
647.0,75,13943.253059
647.0,70,13948.294717
1325.0,188,13960.23963
1046.0,180,13971.381892
609.0,67,13975.57248
613.0,66,13979.643549
1329.0,240,13996.113407
716.0,141,14004.938416
1050.0,279,14024.352989
1330.0,203,14038.111639
813.0,149,14048.009055
612.0,72,14052.994943
623.0,73,14057.755873
635.0,83,14063.377361
251.0,29,14065.243123
628.0,78,14070.592929
615.0,64,14074.576154
1314.0,238,14089.612507
609.0,99,14096.934251
616.0,68,14101.272798
