# {"env_id": "SuperMarioBros-v1", "t_start": 1556333252.0456674} 
r,l,t
757.0,177,11921.469385
1030.0,248,11947.391963
1326.0,295,11978.671489
1040.0,177,11996.228656
1305.0,276,12025.67467
241.0,36,12028.74532
1340.0,230,12051.888082
647.0,98,12063.653932
1338.0,212,12085.114201
588.0,115,12098.520495
244.0,34,12101.790625
825.0,145,12118.502016
1026.0,229,12141.162669
592.0,114,12152.186841
240.0,39,12156.186187
1308.0,326,12192.724674
1424.0,271,12221.833114
650.0,76,12229.29401
1055.0,230,12254.465665
1076.0,118,12266.0174
770.0,285,12293.571403
640.0,76,12301.560685
628.0,113,12313.840216
1026.0,216,12337.334714
1339.0,183,12355.520207
802.0,271,12385.45387
633.0,99,12395.11406
599.0,106,12407.426869
1045.0,155,12423.131206
1564.0,201,12442.960111
237.0,42,12448.304628
229.0,36,12452.722673
1449.0,227,12477.573419
251.0,31,12480.42732
1031.0,248,12506.826214
1030.0,209,12530.315192
640.0,87,12538.939172
808.0,175,12556.356915
770.0,387,12598.514613
246.0,38,12602.818763
631.0,80,12610.691289
783.0,346,12647.281667
801.0,282,12676.245949
1291.0,400,12717.436932
586.0,110,12728.498892
1018.0,231,12752.611266
701.0,190,12776.332974
227.0,41,12780.473318
753.0,179,12800.519774
1314.0,218,12821.764607
1011.0,418,12863.742528
652.0,79,12872.829655
240.0,33,12876.89544
1032.0,200,12896.430182
1019.0,314,12931.927978
642.0,85,12941.742847
1027.0,321,12976.591872
1045.0,326,13011.031871
1050.0,175,13030.629977
776.0,192,13049.763562
251.0,34,13054.635772
247.0,37,13058.835232
1050.0,172,13075.878395
735.0,137,13091.668743
603.0,96,13101.011114
1346.0,203,13123.340444
811.0,157,13138.726228
639.0,168,13155.424834
1015.0,265,13183.877141
1335.0,251,13211.081076
1303.0,473,13260.845433
743.0,186,13281.175878
1314.0,343,13318.743649
234.0,41,13323.421834
1315.0,207,13343.845974
633.0,83,13352.030002
1528.0,491,13402.894344
805.0,257,13428.03544
1303.0,221,13452.185234
779.0,161,13468.968813
236.0,43,13473.048667
634.0,111,13483.968068
623.0,100,13493.938529
766.0,214,13518.79506
1020.0,452,13566.204384
642.0,148,13580.160718
1069.0,159,13596.600716
248.0,31,13600.542975
614.0,83,13610.223852
224.0,43,13614.213778
734.0,236,13639.2991
1316.0,307,13672.460252
1302.0,248,13696.342079
1336.0,180,13713.662517
626.0,201,13735.075611
1082.0,553,13796.686467
1429.0,197,13818.551961
1052.0,224,13840.640922
228.0,41,13844.664519
601.0,104,13854.849505
248.0,30,13857.981712
235.0,38,13861.564999
1315.0,268,13890.363853
1332.0,180,13910.431694
622.0,105,13921.012693
248.0,42,13925.090192
248.0,32,13927.904922
643.0,150,13942.935584
605.0,120,13954.584408
235.0,44,13959.481733
243.0,31,13963.803436
230.0,39,13968.218833
243.0,39,13972.127721
606.0,125,13984.424652
1308.0,453,14033.719055
642.0,153,14050.909396
618.0,82,14058.967321
812.0,177,14076.61111
236.0,38,14080.343847
615.0,76,14088.551364
753.0,177,14106.826622
240.0,39,14110.421463
595.0,100,14121.65098
614.0,102,14132.807209
816.0,181,14150.704619
222.0,45,14154.901511
1042.0,277,14184.704775
713.0,145,14200.95022
224.0,41,14205.454857
811.0,158,14223.22723
249.0,34,14226.779065
1046.0,135,14239.066482
1020.0,291,14270.413702
1036.0,175,14289.89562
616.0,69,14296.585379
609.0,74,14303.824969
1457.0,189,14324.773181
256.0,35,14328.609178
1702.0,235,14354.654016
1375.0,401,14395.737376
1063.0,128,14410.862777
763.0,142,14425.771579
1342.0,179,14445.718522
233.0,35,14449.141659
606.0,94,14457.488387
1704.0,230,14481.833905
587.0,93,14493.282687
233.0,37,14496.903903
1702.0,260,14522.574021
222.0,46,14527.353244
787.0,257,14557.215162
248.0,32,14560.409597
1031.0,152,14575.420981
1041.0,173,14592.427872
799.0,150,14609.483686
1591.0,179,14627.22562
603.0,76,14636.808698
1430.0,167,14653.32294
1345.0,241,14680.218357
638.0,141,14694.229645
1120.0,299,14726.203285
1866.0,242,14752.160486
1683.0,300,14781.731918
244.0,34,14785.076122
1042.0,161,14803.181385
249.0,37,14807.038617
1045.0,278,14836.584884
234.0,38,14840.184587
234.0,43,14845.221257
643.0,147,14862.263349
627.0,83,14870.463988
635.0,99,14880.161681
250.0,32,14883.134822
253.0,31,14885.798482
820.0,145,14900.508451
836.0,138,14916.309389
627.0,80,14924.142948
249.0,30,14927.251983
787.0,127,14939.582079
1341.0,297,14969.949824
641.0,91,14980.326879
2373.0,311,15013.351478
613.0,70,15020.245794
791.0,145,15034.611788
251.0,30,15037.607711
1034.0,216,15061.790206
624.0,64,15068.568549
630.0,100,15078.317487
1336.0,136,15094.128446
610.0,66,15100.512213
749.0,163,15116.598006
1434.0,192,15135.756252
2314.0,573,15194.616225
1296.0,317,15228.024091
239.0,34,15231.59411
656.0,85,15239.963595
1697.0,232,15265.105477
824.0,146,15281.893006
603.0,103,15291.900648
1324.0,284,15322.448347
827.0,157,15337.848516
582.0,104,15348.221338
249.0,30,15350.99735
245.0,41,15355.121741
750.0,138,15368.55916
614.0,63,15376.438247
1058.0,114,15388.268791
1346.0,167,15404.753967
231.0,48,15409.365659
592.0,103,15419.591275
617.0,75,15429.162873
1307.0,288,15458.540704
1358.0,194,15477.715683
626.0,96,15487.288036
1050.0,197,15509.123438
1596.0,211,15532.082114
656.0,84,15542.364923
634.0,81,15550.724409
748.0,136,15564.363447
1380.0,324,15598.496942
770.0,114,15609.840365
773.0,136,15623.290247
249.0,31,15626.291418
613.0,72,15633.465331
591.0,92,15643.903329
241.0,37,15648.400635
1337.0,186,15666.980612
749.0,134,15683.146567
718.0,132,15697.462948
254.0,28,15700.008901
623.0,77,15707.66801
786.0,149,15722.465471
597.0,107,15732.997835
1315.0,279,15764.116357
1048.0,186,15783.745765
629.0,107,15795.318152
244.0,35,15798.890253
765.0,148,15815.804162
198.0,52,15820.192203
237.0,34,15823.313164
640.0,87,15832.755487
737.0,170,15849.257902
611.0,74,15857.491328
1333.0,270,15887.462686
637.0,148,15904.114093
633.0,85,15912.685474
636.0,86,15923.238652
631.0,93,15932.657976
617.0,99,15942.488659
1313.0,272,15971.762678
254.0,28,15974.42855
661.0,82,15982.502823
973.0,544,16039.257097
2037.0,748,16118.544623
1050.0,163,16133.810536
747.0,118,16146.067383
1307.0,280,16175.588679
1152.0,172,16192.7992
1060.0,118,16206.872293
803.0,275,16234.844239
816.0,140,16249.549209
607.0,76,16257.028502
814.0,148,16274.550858
820.0,167,16292.478321
619.0,75,16299.875961
624.0,72,16307.034144
639.0,85,16315.423697
1036.0,238,16342.500341
600.0,109,16354.694452
1555.0,328,16390.69191
747.0,133,16404.474854
617.0,74,16411.715686
1407.0,285,16442.260955
239.0,34,16445.473287
611.0,71,16452.527898
1042.0,189,16470.466494
619.0,90,16480.702619
1657.0,327,16515.028658
1415.0,276,16543.200333
629.0,90,16553.669265
611.0,72,16560.799343
725.0,143,16574.820757
656.0,82,16585.080064
253.0,35,16588.755609
637.0,141,16603.566826
218.0,44,16607.874994
1053.0,124,16620.148683
1865.0,299,16651.908826
819.0,144,16668.590652
1042.0,165,16684.249879
248.0,32,16687.739424
1137.0,277,16718.337289
1453.0,215,16741.724239
3010.0,669,16812.189252
815.0,138,16828.038004
248.0,37,16831.310374
1049.0,181,16849.2451
1024.0,316,16880.559743
621.0,80,16890.139077
1553.0,400,16932.827266
613.0,76,16942.47606
647.0,70,16949.360828
813.0,154,16966.372308
1308.0,190,16985.617769
609.0,83,16993.800633
601.0,150,17010.306362
825.0,141,17024.371375
248.0,28,17026.823295
1146.0,261,17055.587659
629.0,143,17069.738014
1386.0,329,17104.289654
1031.0,260,17132.589531
1342.0,193,17153.900088
1038.0,175,17171.299926
1041.0,141,17184.288382
3044.0,604,17251.052511
1031.0,210,17273.399828
610.0,99,17283.199026
1043.0,134,17298.834381
1047.0,190,17319.221931
1444.0,209,17340.526783
608.0,61,17348.42986
647.0,81,17356.76134
1287.0,381,17393.72182
1026.0,179,17411.856023
589.0,94,17420.604544
729.0,287,17449.372616
245.0,31,17453.718699
252.0,31,17457.471301
1360.0,161,17474.395043
1333.0,184,17492.806049
609.0,69,17501.602219
1021.0,390,17543.139173
653.0,70,17551.866963
1675.0,233,17576.921776
1418.0,205,17597.653784
648.0,75,17607.128024
1059.0,176,17625.597188
246.0,34,17628.810953
1049.0,178,17646.346611
1309.0,355,17683.737312
973.0,536,17741.518729
1048.0,162,17757.576798
821.0,128,17771.905498
239.0,32,17775.525988
614.0,91,17784.619438
610.0,90,17793.616884
241.0,33,17796.768686
1330.0,151,17811.736533
1037.0,210,17834.650221
814.0,140,17848.596415
1053.0,169,17865.19738
1040.0,179,17882.882006
625.0,85,17891.309024
808.0,250,17918.293875
1157.0,119,17930.274868
1569.0,267,17960.523878
1728.0,202,17982.867002
619.0,66,17989.458784
611.0,91,17998.326793
1412.0,303,18029.458655
1317.0,247,18054.696078
637.0,147,18068.437238
1062.0,177,18087.611726
236.0,35,18090.882634
1353.0,195,18112.506081
1939.0,223,18136.878238
236.0,36,18140.096039
606.0,64,18145.802356
227.0,42,18150.522475
1039.0,224,18172.559703
1563.0,208,18194.884743
617.0,65,18201.374376
231.0,40,18205.368942
1673.0,358,18245.329217
812.0,157,18260.60996
1431.0,190,18281.687849
1724.0,177,18299.206897
1603.0,293,18330.149356
1046.0,126,18343.792665
1339.0,189,18362.275336
1045.0,151,18377.309482
1027.0,186,18398.755537
631.0,66,18405.401547
