% time spent exploring,episodes,mean 100 episode reward,steps
27,1210,1251.4,222677
26,1220,1248.9,224581
26,1230,1266.2,226504
25,1240,1291.8,228203
24,1250,1305.2,229986
24,1260,1270.3,231407
23,1270,1302.0,233239
23,1280,1330.1,235203
22,1290,1329.6,236885
21,1300,1331.7,238928
21,1310,1383.8,240882
20,1320,1361.7,242341
20,1330,1388.2,244015
19,1340,1397.7,245720
19,1350,1358.6,247002
18,1360,1376.9,248678
18,1370,1364.3,250264
17,1380,1361.6,252825
16,1390,1377.2,255126
15,1400,1419.6,257778
14,1410,1438.4,260339
14,1420,1425.8,261796
13,1430,1438.0,264138
13,1440,1448.8,266087
12,1450,1495.8,267889
11,1460,1551.6,270552
10,1470,1584.9,273312
9,1480,1593.5,275775
9,1490,1576.3,277970
8,1500,1588.7,280444
7,1510,1575.9,282560
6,1520,1658.6,284876
6,1530,1673.7,287307
5,1540,1716.4,290138
4,1550,1762.8,292590
3,1560,1768.8,294828
2,1570,1811.6,298484
2,1580,1861.4,302283
2,1590,1915.8,305782
2,1600,1941.6,309172
2,1610,2021.7,313228
2,1620,2074.5,317703
2,1630,2124.7,321451
2,1640,2162.1,324981
2,1650,2152.3,327880
2,1660,2178.2,330736
2,1670,2157.7,333508
2,1680,2180.4,336768
2,1690,2202.3,340644
2,1700,2214.7,343475
2,1710,2144.4,346090
2,1720,2086.1,348951
2,1730,2088.1,352366
2,1740,2021.9,354889
2,1750,2041.4,357817
2,1760,2044.6,361642
2,1770,2084.2,366788
2,1780,2091.4,370900
2,1790,2052.8,373791
2,1800,2061.8,377137
2,1810,2140.5,382118
2,1820,2173.7,385216
2,1830,2116.7,387432
2,1840,2176.5,391230
2,1850,2158.0,393651
2,1860,2158.9,396471
2,1870,2107.3,398325
2,1880,2042.9,400179
2,1890,2054.3,402515
2,1900,1994.8,404889
2,1910,1931.2,407441
2,1920,1933.9,410369
2,1930,2014.1,415101
2,1940,2035.0,419079
2,1950,2033.3,423068
2,1960,2050.3,427091
2,1970,2070.9,430300
2,1980,2046.1,432515
2,1990,2050.9,435598
2,2000,2104.5,439733
2,2010,2079.1,442186
2,2020,1979.2,443444
2,2030,1847.2,444857
2,2040,1711.8,446196
2,2050,1667.8,448892
2,2060,1638.2,452209
2,2070,1721.3,456518
2,2080,1840.5,460341
2,2090,1875.3,464560
2,2100,1891.9,467531
2,2110,1949.7,471999
2,2120,2016.5,474521
2,2130,2107.4,477258
2,2140,2155.7,479851
2,2150,2215.2,483584
2,2160,2160.6,485625
2,2170,2055.2,489152
2,2180,1949.3,492350
2,2190,1823.3,493588
2,2200,1722.6,495615
2,2210,1728.4,499572
2,2220,1698.0,501942
2,2230,1681.2,505038
2,2240,1687.7,507933
2,2250,1715.7,511777
2,2260,1741.8,515800
2,2270,1729.5,518038
2,2280,1743.0,521094
2,2290,1767.5,523407
2,2300,1699.5,524840
2,2310,1610.7,527373
2,2320,1598.2,529815
2,2330,1595.4,532207
2,2340,1583.6,534718
2,2350,1464.0,536542
2,2360,1412.6,538019
2,2370,1403.6,540027
2,2380,1444.2,543494
2,2390,1468.7,545617
2,2400,1610.7,548621
2,2410,1614.4,550570
2,2420,1634.7,553367
2,2430,1584.2,555685
2,2440,1554.8,558121
2,2450,1540.6,559684
2,2460,1557.0,561506
2,2470,1598.6,564666
2,2480,1523.0,566584
2,2490,1497.8,568495
2,2500,1487.7,571815
2,2510,1517.8,574012
2,2520,1541.6,577336
2,2530,1616.6,580976
2,2540,1698.3,584419
2,2550,1763.1,586502
2,2560,1781.1,588687
2,2570,1759.3,590918
2,2580,1764.4,593347
2,2590,1860.0,596622
2,2600,1819.2,599414
2,2610,1852.0,603523
2,2620,1874.6,606274
2,2630,1862.4,609566
2,2640,1807.2,613490
2,2650,1737.2,615061
2,2660,1822.3,620299
2,2670,1870.2,624574
